,Unnamed: 0,Review,Comment_Count,Reaction,Name,Date,Time
23,25,"As you all know, Pathao is stealing your Data, as a conscious citizen of this country, you should report to Google Play Store for Pathao App.
1. Go to Play Store.
2. Search & Open Pathao App 3. On the upper right corner, you see three dots. Click on that. 4. Select Flag as…",17,55,Nagib Mahfuz Plabon to Desperately Seeking Dhaka - DSD,2018-10-11, 8:43 AM
24,26,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
25,27,Disgraceful !! Pathao is a data thief !! This is some SERIOUS invasion of privacy. So many people are complicit in this and I truly wonder what they were thinking. Why on earth would a 'corporate compa...,1,8,Nazmu Masood,2018-08-11,11:23 PM
26,28,"Hiring Data Scientists 
(Ninjas!!). If you or any of your friends are interested in #movingBangladesh, do buzz me! 
#Pathao",6,34,Andalib Hasan,2018-12-02, 8:08 PM
27,29,Let's look at the data privacy issue of Pathao,38,2100,The Daily Star,2018-12-11,10:57 AM
28,30,"...Missed a lot in the week and finally read up on the possible data security issue of Pathao today. Checked my app permissions and voila, Pathao has access to my SMS. I felt infuriated then immediately s...",11,152,Ashiq Alam,2018-09-11, 1:04 AM
29,31,"#help_post_for_googleplay_services
1. Remove the Gmail with which Uber or Pathao is running (setting>account>google >remove account) 
2. Uninstall Uber & Pathao.  3. Clear cache for Google play services (setting>apps>google play services>clear cache) DNT…",1,1,Abu Bakar Siddique to Pathao Users Of Bangladesh,2018-11-05, 2:26 PM
30,32,“Pathao” From “Moving Bangladesh” to “Moving Data”. This escalated so quickly.,4,68,Shaurov Sheikh,2018-09-11,12:13 PM
31,33,"Problem of PATHAO
১. On হয়না।
২. On হলে, location update হয়না।
৩. location update হলে, Requisite আসে না।
৪.  Requisite আসলে, Sound শুনা যায়না।
৫. Sound শুনা গেলে, Popup হয়না।
৬. Popup  হলে, Data show করে না।
৭. Data show করলে, Accept হয় না। ৮. Accept হলে,…",2,23,Mizanur Rahman to Pathao Users Of Bangladesh,2017-11-29,12:40 AM
32,34,"You'll always win with Pathao! Dhaka users will now get amazing discounts just by requesting more car rides or food orders from the Pathao app. Top 10 food users will get 100% discount on 3 car trips (up to 200tk), while Top 10 car users get 100% discount on 2 food…",14,192,Pathao,2018-09-24, 1:36 PM
33,35,I'm so lifeless that if Pathao data scientists search my entire online data they'll regret how much of their valuable times are wasted.,5,52,Raiyad Raad,2018-08-11, 8:01 PM
34,36,...Wifi dye request dsilam & mobile e amr data thake nah ajonno Pathao app check krte pare nai. Call o receive kortasilo na uni. Mone krselam uni JAM e prse & ringtone khyal krtsa nah. r pore Data r card...,2,9,Amir Faruk to Pathao Users Of Bangladesh,2018-12-05, 1:15 AM
35,37,"The ultimate delivery solution for Bangladesh.
We are here for all your E-commerce delivery needs.
To avail the service, 
Sign up here- https://pathao.com/merchant-registration
Fore more information, Call: 09678100800, and press 2.",35,1900,Pathao,2017-02-04, 5:58 PM
36,38,"#help_post_for_googleplay_services
1. Remove the Gmail with which Uber or Pathao is running (setting>account>google >remove account) 
2. Uninstall Uber & Pathao.  3. Clear cache for Google play services (setting>apps>google play services>clear cache) DNT…",2,4,Abu Bakar Siddique to Uber Users of Bangladesh,2018-11-05, 2:27 PM
37,39,"...হাজার হাজার অ্যাপ থাকতে শুধু একটা Apps-এর নাম কন??? আপানরা সবাই শুনেন.. এমন Data/SMS শুধু Pathao না, আরও অনেক Apps (Whatsapp, Viber, IMO, Uber, Bkash, Facebook etc) চুরি করতেছে অথবা চাইলেই চুরি করতে পা...",3,9,Zaheed Hossain,2018-09-11, 3:49 AM
38,40,Looking for two person who will manage to drive Bike in Uber/Pathao.Interested persons are highly recommend to inbox me.Thank you 😊 NB:I’ll provide bikes.,1,3,Mohaimin Rahabar to Desperately Seeking Dhaka - DSD,2018-06-27, 7:28 AM
39,41,"...And most importantly, You don't have to register to Pathao for it. You can fetch their data with your low-spec phone, from Bangladesh or anywhere. In just 2 minutes, I found 10+ active URL with private...",2,31,Mugdho Sapiens,2018-12-23, 6:11 PM
40,42,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মিরপুর-2
স্থায়ী বেতন 12,000 TK + Part time Uber/Pathao Commission 15% (After Expense)  শুধুমাত্র আগ্রহী ব্যক্তিকে যোগাযোগের নম্বর…",18,14,Zobayed Hassan to Uber driver Dhaka🚃,2018-10-13,12:39 PM
41,43,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",52,545,Pathao,2017-10-10, 3:54 PM
42,44,When your younger brother is your personal Pathao rider🌚❤️,1,61,Rubaiyaat Adiba is with Alif Liam.,2018-08-12, 8:04 PM
43,45,"Mazda Axela 2005  Price: ৳7,50,000  Dhaka, Bangladesh Mazda Axela.Urgent Sale. Make Year : 2005 Registration :2008 Serial :23 Color : Silvrer. CC:1500 Transmission : Automatic Options : Ice cool AC, Original Alloy Rim with new tyre, New battery,Full…",1,17,Shobarbazar.com,2018-01-10, 1:49 PM
44,46,"Personal + Uber
ড্রাইভার প্রয়োজন  জানুয়ারী মাস থেকে !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মগবাজার,ডাক্তারগলি
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 25% (After Expense) Car : Toyota…",4,6,Dipanjal Chakraborty to Uber driver Dhaka🚃,2018-09-12, 1:06 PM
