,Star Mean
Week 1,4.298701298701299
Week 2,1.027363184079602
Week 3,1.0
Week 4,2.8
Week 5,3.774193548387097
Week 6,1.0125
Week 7,2.0
Week 8,4.115942028985507
Week 9,1.1642512077294687
Week 10,1.5263157894736843
Week 11,3.5925925925925926
Week 12,1.0394736842105263
