Star,Date,Name,Reaction,Review
1,"10 19, 2018 11 4, 2018",A Google user Pathao Inc,0,need to easy
1,"8 26, 2018 11 12, 2018",Mahitul Islam Pathao Inc,0,It is good
1,"4 4, 2018 4 13, 2018",A Google user Pathao Inc,0,very nice
1,"2 4, 2018 2 27, 2018",TheCrazyCrew Bd Ali Tanvir Pathao Inc,0,Bad
1,"11 12, 2018 11 12, 2018",Akhtaruzzaman Ashik Pathao Inc,13,"Collecting private informations for business purposes are very bad practice. And, then showing lame logic like 'For Women's Safety Reason' from Pathao forced me to uninstall the app."
1,"11 19, 2018 11 19, 2018",Jannatun Nayim Pathao Inc,0,😐
1,"9 25, 2018 11 11, 2018",Technical Tips Nepal Pathao Inc,0,Nyc.
1,"11 17, 2018 11 17, 2018",A Google user Pathao Inc,1,খানকিরপোলারা
1,"11 18, 2018 11 19, 2018",Abdul Alim Pathao Inc,0,"বালের এ্যাপস এটা,, ঠিক ঠাক কাজ করে না,,ওদের ইচছা মত মেন্ডাটরি করে"
1,"11 15, 2018 11 15, 2018",MD DULAL HOSSAIN Pathao Inc,0,Improve the app; same place shows different fair. Up & down fair shows also different
1,"11 15, 2018 11 15, 2018",sahadat chy Pathao Inc,1,15.11.18 Todays experience is more then worst. Dear Pathao authority pls appoint some qualified rider otherwise you can't survive in Bangladesh.
1,"11 16, 2018 11 19, 2018",ashfaq chanchal Pathao Inc,0,Your riders have became rickshawala
1,"11 16, 2018 11 19, 2018",Hassan Mehedi Pathao Inc,0,this apps not working. downloded again and again
1,"11 11, 2018 11 15, 2018",A Google user Pathao Inc,0,Not fair 😤😤😤😤
1,"12 9, 2017 12 12, 2017",SAKIB REZA APON Pathao Inc,0,Very nice app.
1,"3 8, 2017 12 18, 2017",kazi mostafizur Pathao Inc,0,apps not working
1,"2 25, 2018 2 27, 2018",A Google user Pathao Inc,0,বাজে রাইড
1,"3 25, 2018 4 13, 2018",A Google user Pathao Inc,0,Baje apps
1,"11 11, 2018 11 10, 2018",ovi majumder Pathao Inc,1,Shame !!
1,"7 15, 2017 12 21, 2017",Tohidul Islam Pathao Inc,0,need to improve more
1,"2 16, 2018 3 23, 2018",Hridoy Biswas Pathao Inc,0,Service not available
1,"4 2, 2018 4 13, 2018",A Google user Pathao Inc,0,অ্যাপসটা বালো না
1,"10 31, 2018 11 3, 2018",A Google user Pathao Inc,0,I don't like
1,"11 4, 2018 11 5, 2018",Suraj Thapa Pathao Inc,0,Wrost app ever
1,"9 16, 2018 11 11, 2018",A Google user Pathao Inc,0,Bad game.
1,"4 11, 2018 4 12, 2018",Pappu Pappu Pathao Inc,0,It is very falto
1,"3 12, 2018 3 14, 2018",Moynul Hoque Shajid Moynul Hoque Shajid Pathao Inc,0,This too muchh
1,"11 6, 2018 11 6, 2018",Md Tuhin Pathao Inc,0,its harmful
1,"10 31, 2018 11 3, 2018",KHAN SHAHEB Pathao Inc,0,Worse app
1,"10 18, 2018 11 4, 2018",Suruj Prodhan Pathao Inc,0,Bad services
1,"10 14, 2018 11 5, 2018",Dadir Khan Pathao Inc,0,Useless app
1,"2 5, 2018 2 27, 2018",A Google user Pathao Inc,0,Time waste
1,"8 22, 2018 11 12, 2018",ဗီူဗီူ ဗီူဗီူ Pathao Inc,0,Not nice
1,"2 16, 2018 2 27, 2018",Shoaib Taif Pathao Inc,0,Very bad
1,"11 15, 2018 11 19, 2018",tauhid islam Pathao Inc,0,Need discount
1,"8 28, 2018 11 12, 2018",APU Debnath Pathao Inc,0,very bad
1,"11 11, 2018 3 21, 2018",Amir Faruk Pathao Inc,74,I've submitted a complain against a Pathao Car Driver. I've also asked for refund. Why you guys aren't updating my complain ?? *Update- It's been about 9 months. Still no update. Nice. -_- _-
1,"11 7, 2018 11 7, 2018",Crispy Terminator Pathao Inc,3,Bad app
1,"10 10, 2018 11 5, 2018",aneek islam Pathao Inc,0,I give vali email but it showed give to valid mail....
