Star,Date,Name,Reaction,Review
1,2018-08-11,Jubair Ahmad,0,Worst
1,2018-08-11,Sifat Khandoker,0,Goons
1,2018-09-11,Hasan Zahid,0,Unfaithful
1,2018-09-11,Video for Understand,0,scammer
1,2018-11-14,Ibrahim Emran,18,Drivers not perfect as well as company.
1,2018-09-11,Farzia afroze,21,"Steals all contacts and SMS and stores them in their server, probably for using or selling them. Extremely harmful because it steals sensitive data like credit card information, banking information , salary information and what not."
1,2018-12-11,A Google user,2,"They read all sms of your phone that may contain your bank info, bank credentials, personal message, private business discussion which what we don't want to be accessed by a ride sharing app."
1,2018-08-11,Musa Bin Mostafa,4,This app collect my personal data without inform me. its unsecure.
1,2018-08-11,Md Saifullah,7,U don't have right to upload my SMS and apps info in ur server👹
1,2018-08-11,Kowsar S,4,it wants access to read sms which is violation of privacy
1,2018-09-11,Kaikubad Johny,0,It's stealing my data. I am very disappointed because it's stealing my message.
1,2018-09-11,Ahmed Yasin,0,Shame on you for cheating with the users by stealing their personal information.
1,2018-09-11,Asadur Zaman,0,Now I don't believe.
1,2018-09-11,Ramim Ahmed,0,Violation of privacy isn't something that we should take for granted. Back to the drawing board on that one please.
1,2018-10-11,Sabbir Sagar,0,They stealing our sms! Our transactional sms notifications too!!
1,2018-08-11,Siddique Md. Yeamin,2,It is stealing users info 🤣😂
1,2018-10-11,Yakub Ali,0,Privacy & Security issue
1,2018-09-11,kuntal binarydiziT,0,steal users sms and data on their server.
1,2018-08-11,Towhidul Haque,2,They stolen all SMS & Contacts. Google play should remove this app permanently.
1,2018-09-11,dr nafiz,0,You are playing with our privacy. Very bad...
1,2018-08-11,Mohammad Al-Amin,3,I just read the response by your vice president. So funny 🤣 🤣
1,2018-09-11,muradul mostafa,0,"Pathao steals the user SMS,phone book. Though it doesn't need anything without location permission."
1,2018-08-11,Olivia Patric,4,ডিজিটাল চোর।মানুষের পারসোনাল ডাটা চুরি করে
1,2018-08-11,Bappy Sharker,2,You are the worst of your kinds
1,2018-08-11,Prottoy Ahmed,2,1star for stealing users data
1,2018-09-11,Asaduzzaman Pavel,0,Pathao steals our phone information like phonebook and SMS and all installed apps
1,2018-09-11,Ali Mehraj,0,Stealing information. Scum spotted.
1,2018-08-11,M. Hoque Bappy,5,This app still personal data.
1,2018-08-11,Mostafa Al Mahmud,2,Try not to steal our data without our permission
1,2018-08-11,A Google user,4,Personal information collect koren keno?
1,2018-10-11,MD ATAUR RAHMAN TALUKDER,0,They steal users data
1,2018-10-11,Sam Sumon,0,"Thief, don't steal and store our data."
1,2018-09-11,Md,0,আমার তথ্য অন্য সার্ভারে আপলোড করার অনুমতি কে দিছে?
1,2018-09-11,Sohel Siddiqui,0,This apps taking all personal information without asking.
1,2018-09-11,Ashiqul Islam,0,Thief. Information thief
1,2018-08-11,Md Mahmudul Hasan Ferdous,4,Collect sms from user & save it on their server
1,2018-10-11,shohorab hasib,1,Stop copying our contancts u bustards
1,2018-09-11,Touhidul Islam,0,It stealing personal info
1,2018-09-11,Md.Mahfuzul Alam,0,Steal my contact number and sms
1,2018-08-11,Abdul Aouwal,8,"Because of Privacy, I am uninstalling it. Legal Step Should be taken against You"
1,2018-10-11,Ashfaq Ahmed,0,Malware application
1,2018-11-14,robi ul,0,Hacker
1,2017-12-17,Md. Siddiqur Rahman Bhuiya,0,😝😝😝
1,2018-11-13,Fahim Al Mahmud Ashik,2,This app steals all of your phones sms and uploads them in their server without users knowledge. I stopped using it as i care about my security
1,2018-10-11,Shaikh Mohammad Munim,11,They read your text messages and in future can get your personal information like bank accounts and do unscrupulous activities
1,2018-11-11,Samiul Hasan,4,"Infringes on your personal information without asking permission. Steals contact info, reads your SMS, even stores your Facebook verification code. Avoid at all costs. Shame on you, Pathao."
1,2018-09-11,Sharif Siddique,24,"Not only take access of all sms, but also uploads them to their servers. Violates their privacy policy."
1,2018-09-11,Mahamudul Hasan,56,"these ""chor"" simply upload users personal info, sms, locations and even you bank info to their server without clearly informing this to users. these people should be brought to justice"
1,2018-11-17,Saidur Rahman,0,চোর
1,2018-09-11,Estiak Hossain,42,They are thief and steal important info from user's mobile including contracts and sms. Not recommended.
1,2018-09-11,M. Asif Hossain,19,This is question about engineering ethics. You collect our data and store the data and share with the third party. This totally unacceptable.
1,2018-11-17,Azizul Hakim,0,takes private sms data. this is shocking and sad.
1,2018-11-11,Ricky Francis,3,This app collects SMS & All personal data and uploads it to it's server. It's pretty scary how a trusted app can do this?
1,2018-10-11,Abid Arnab,9,"Pathao steals information from its users and without permission, uploads in its own server. This is a clear invasion of privacy."
1,2018-11-11,Al Mamun Russell,2,Digital Frauds. Officially claimed they need access to users' text messages in case a female rider is in trouble! What a bunch of a**holes!!!
1,2018-11-13,A Google user,0,চোর
1,2018-11-11,A Google user,0,Faltu
1,2018-10-11,Halima Afroz,7,I came to know that Pathao App is having all my personal info that's why i am uninstall the App. Thanks.
1,2018-10-11,MD Obaidullah Al-Faruk,0,Data thief
1,2018-11-13,JP Tamal,3,They are stealing our info and have access to our texts and contacts without our permission! They've violated our privacy. They should be punished.
1,2018-09-11,Tamil Films,0,Faltu
1,2018-11-11,Farhan Zahin,1,Publicly announce that you guys will stop stealing our data. Then I'll change my rating.
1,2018-12-11,ahmed ashik chowdhury,1,Dumbest app! they stole our private information! uninstalled it thanks
1,2018-10-11,Mohammad Asif,4,You SMS issue makes me insecure. Thinking to file a case against this company.
1,2018-10-11,Shahidul Islam,12,Stealing user's private data without consent is unacceptable. By the way whole world should have been protected by GDRP.
1,2018-09-11,A Google user,18,Hawa application. It just go through your personal information. Not good Operate at your own risk
1,2018-09-11,Mohammad Shahidul Islam,17,"It's stealing my personal data (Contacts, SMS)"
1,2018-10-11,Taskin Anas,9,Thia appa store and steal information from user and dont maintain privacy of information
1,2018-11-11,Ataul Hoque Razib,3,Stop data hacking from user mobile phone and selling it to outside our country.
1,2018-10-11,Dexter Lab,8,Thief. Dont install this. App is stealing sms and contact lists
1,2018-12-11,Kather Ghora,1,"This app is stealing my personal data (sms, contacts) It' a spam."
1,2018-10-11,jaber Hossain,8,Thief. They steal personal information and upload and store in their server.
1,2018-10-11,Mysterious - রহস্যময়,0,চোর
1,2018-11-13,icon Salahuddin,0,Sms
1,2018-11-19,Atikul Islam,0,This is the most disgusting app ever
1,2018-08-02,ananto suha,0,Faltu app game khaler somoi aisa por e😡😡😡😡😡😡😡😡😡😡😡😡👺👺👺👺👺👺👺💀👺👺😡👹😵👹😵😵😡😠😠😠😠😠😠☻💩💩💩
1,2018-11-16,MK Ovy,10,Doesn't respect users privacy.
1,2018-10-11,Ifran Sakib,0,Data Thief
1,2018-11-11,A Google user,0,Digital Thief
1,2018-12-11,A Google user,0,very bad
1,2018-12-11,Rezaul Islam,0,Fraud App
1,2018-11-11,A Google user,0,It is a malware
1,2018-09-11,SHAIBAL DAS,0,Flag as inappropriate
1,2018-11-11,Mahin Bari,0,its a malware
1,2018-10-11,Rudmila Shehrin,0,Cheater and fraud
1,2018-11-11,A Google user,1,Breaching data safety
1,2018-11-14,Tarique Mahmood,0,This app. Have no Security.
1,2018-10-11,Tazin Ahmed,0,Hackers.
1,2018-11-13,Tanzil Mohmud,0,Steals data without consent.
1,2018-11-14,Minar Mahmud,0,Steals user contacts and SMS!!
1,2018-11-14,khalid Emdad,0,information thief
1,2018-11-11,Muhammed Afnan Monir,0,They are stealing data
1,2018-10-11,Mohammad Rafid,1,Hacks texts... guys be careful
1,2018-11-11,Raisul Islam,0,Pathao steals users data without user permission.
1,2018-10-11,Farid Rahman,3,stealing personal information
1,2018-10-11,Monjurul Majid,2,The app take personal data..
1,2018-10-11,Ashraful Alam,0,Upload personal data to server and store there.
1,2018-11-11,A Google user,0,hack user privacy
1,2018-12-11,Poran Bhuiyan,1,Not safe for public
1,2018-11-11,A Google user,0,Digital thief....hated it
1,2018-11-18,A Google user,0,Cheater..
1,2018-11-14,Jisan Islam,0,Privacy 😑
1,2018-11-17,Moshiur Rahman,0,I can't trust
1,2018-11-15,iabur rahman,0,Stupid policy
1,2018-12-11,adorer nouko,0,Not trustworthy at all
1,2018-09-11,A Google user,2,It's very bab software...
1,2018-11-11,Sabit Jisan,0,Steals personal information from phone
1,2018-12-11,Get Dumpstered,0,Stealing our personal data. For Shame!!
1,2018-10-11,Niaz Bhuiyan Asif,0,Thief! they steal user data
1,2018-06-16,A Google user,0,baal
